,league,earnings,players,tournaments,events
337,Antec Attack,6696.3,23,26,1
338,AoEZone Events,7329.0,28,2,1
339,Aorus League,43093.02,115,20,5
340,Apex,143120.89,206,56,7
341,Apex Legends Global Series,756000.0,420,48,7
342,Arbalet Cup,348950.0,263,30,22
343,Arena Gaming League,51600.0,28,7,5
344,Argeking,978.52,10,4,3
345,Arma Cup,37553.7,33,14,1
346,Artifact Bitcoin League,8590.0,57,8,1
347,Artifact Open Circuit,700.0,19,4,1
348,Ascended Star League,18392.25,72,28,7
349,Asia Communication League,70189.0,32,2,1
350,Asian DOTA2 Gold Occupation Invitational Competition,303410.8,60,11,1
351,Asian Games,0.0,48,6,1
352,ASSEMBLY,794918.33,683,126,30
353,Association of Gaming Professionals,72496.0,78,16,7
354,Atlantic Lan,5197.21,28,2,2
355,Australian Cyber League,63888.34,128,30,12
356,Balkan Championship,6547.0,46,3,3
357,BaseTradeTV Showmatch,6841.97,33,22,13
358,BaseTradeTV: Money $peak$,3165.0,35,26,12
359,Battleriff Pro League,59500.0,91,8,8
360,Bay Area Monthlies,405.0,7,2,1
361,BEAT Invitational,33300.0,103,5,5
362,Beyond Entertainment,74500.0,75,49,3
363,BMW 120,16800.0,19,4,1
364,Brawlhalla World Championship,250600.0,59,8,3
365,Broad Street Battle,8064.0,69,47,7
366,Bud Light Beer League,25000.0,33,22,2
367,Bullet Chess Championship,15150.0,18,4,1
368,Canada Cup Gaming,94927.29,182,52,7
369,Cap Arena,11724.51,35,3,1
370,Captains Draft,737561.0,95,4,4
371,CFL Smackdown,18306.41,55,121,4
372,CGC @ SFSU,570.0,9,2,1
373,Challenge Cup,29412.0,25,4,1
374,Challengestone,12000.0,14,4,4
375,Championship Gaming Series,2294743.82,319,26,6
376,CheckMate Gaming,3500.0,112,16,2
377,Cheeseadelphia,62000.0,44,9,9
378,CJ Media SuperFight,145361.0,14,10,6
379,Clash Royale Crown Championship,515000.0,27,3,3
380,Clash Royale League,1875460.37,166,15,7
381,Classic Tetris World Championship,15500.0,21,5,5
382,Climax of Night,7960.0,48,8,2
383,Coil Gaming,1322.4,101,21,2
384,Combo Breaker,341740.0,437,99,5
385,Community Effort Orlando,563133.63,711,198,15
386,Completo Arena,3231.95,26,46,1
387,COOL League,27687.44,53,7,7
388,Copenhagen Games,775621.81,623,52,10
389,Corsair Cup,12410.0,70,86,1
390,CS:GO Champions League,120000.0,124,7,1
391,Cyber Evolution,766409.96,1121,98,56
392,Cyber Sports Network,450.0,3,1,1
393,Cyberathlete Professional League,4044690.12,1307,110,56
394,CyberGamer,70332.35,126,32,9
395,Cyborg SC2-Inside Cup,6010.71,14,22,1
396,Deaf e-Sports League,580.31,65,8,6
397,Defiler Tour,8235.0,71,83,1
398,Dell Invitational Cup,5654.15,3,6,1
399,DemEyesRed Events,1250.0,10,6,2
400,Devastation,5000.0,26,7,4
401,Dota Pit League,1954001.0,247,14,10
402,Douyu Yule Cup,25022.2,16,4,1
403,Draft/Constructed League,2583.7,20,11,5
404,Dust2.dk,60627.64,115,30,3
405,East Coast Throwdown,53020.0,165,57,6
406,eFire Master League,25500.0,35,3,2
407,EIZO Cup,3223.54,24,10,1
408,Electronic Sports Festival,33298.15,105,14,2
409,Electronic Sports Global Tour,240744.0,40,1,1
410,Enter The Storm,43100.0,67,7,6
411,epic LAN,181868.82,444,99,29
412,Escape Gaming,103018.0,72,52,15
413,ESOCommunity,15402.0,59,25,3
414,Esports Arena,25000.0,175,31,2
415,Esports Balkan League,187755.3,177,8,6
416,eSports Global Network,34000.0,18,6,1
417,ESVision TV,3200.0,42,16,1
418,ETF2L,23809.61,105,15,14
419,European Gaming League,177728.33,176,42,13
420,European Gaming Organization,4538.8,30,5,1
421,Evolution Championship Series,1799554.22,529,172,28
422,eXTREMESLAND ZOWIE Asia,475022.86,415,30,4
423,Faeria World Circuit,4100.0,12,5,1
424,Fantasy Expo Challenge,406999.46,373,82,11
425,Farming Simulator League,158361.3,84,12,1
426,FIFA Interactive World Cup,574000.0,45,13,13
427,Final Round,135630.0,338,79,5
428,Finnish Esports League,56222.51,45,1,1
429,FLASHPOINT,1088000.0,117,4,1
430,Frag-o-Matic,42745.27,168,22,12
431,Fragbite,504792.99,461,41,16
432,Frostbite,42580.0,63,10,4
433,Frosty Faustings,116422.0,427,132,5
434,Full Bloom,25420.0,61,15,5
435,FXOpen Invitational Series,19500.0,30,6,1
436,Galaxy Battles,650000.0,71,2,2
437,Game Show League,633923.55,265,15,10
438,GameCreds,8746.45,34,64,1
439,Gamefy G-League,960952.43,221,46,13
440,GameGune,493743.81,260,21,17
441,Gamers Assembly,494293.58,835,120,13
442,Games Academy,127189.48,216,55,7
443,Gamez Invitational,1226.0,19,12,1
444,Gamplex XP League,4731.63,7,3,3
445,GENESIS,289695.04,262,48,7
446,GIGABYTE Cup,52439.47,159,43,4
447,Global Electronic Sports Championship,600000.0,65,2,2
448,Global Gaming League,121552.37,70,8,6
449,Global Loot League,1117000.0,421,27,12
450,GODSGARDEN,11322.76,11,4,4
451,GOML,71744.57,159,32,6
452,GosuGamers,44209.26,204,41,7
453,Gwent Masters,772200.0,51,16,2
454,GwentMania,3305.72,146,28,1
455,Halo Championship Series,1521000.0,100,21,13
456,Halo World Championship,4801052.63,159,26,8
457,Hellcase Cup,193741.0,196,8,1
458,Heroes Premier League,600.0,5,2,2
459,HFLAN,25261.71,76,22,14
460,Hitpoint Masters,34410.96,115,11,11
461,Hot Price League,12000.0,19,2,2
462,Hungarian National Esport Championship,12356.15,22,2,2
463,IeSF,274173.29,194,20,8
464,IGN Pro League,832500.0,337,66,18
465,ImbaTV,907986.66,167,9,6
466,InsaLan,20235.67,86,21,5
467,Insomnia Gaming Festival,1481707.54,1695,223,44
468,International e-Sports Festival,529048.59,140,26,10
469,International Electronic Sports Tournament,262583.15,58,9,5
470,International Esports Tournament,128793.6,58,3,1
471,Iron Squid,55000.0,15,8,2
472,JCG Premier League,31829.9,79,19,5
473,JJB Cup,73424.0,46,3,3
474,K1 League,181989.6,32,5,5
475,KBK Masters,57340.22,30,6,3
476,KeSPA Cup,684094.51,244,11,11
477,King of Nordic,116680.01,283,158,18
478,KODE5,206500.0,74,8,5
479,Kung Fu Cup,128112.63,99,69,9
480,LAN Arena,39599.16,69,7,2
481,Lan ETS,133091.62,189,43,9
482,LanCraft,13583.06,49,11,3
483,LanTrek,135474.24,273,49,9
484,League Championship Denmark,22758.71,56,6,3
485,League Greek Championship,70697.32,146,4,4
486,League of Legends Japan League,443108.1,56,11,6
487,Leifeng Cup,179348.14,164,183,2
488,Level|Up Series,62145.0,200,363,2
489,Lichess Titled Arena,44825.0,70,56,27
490,Liga de Videojuegos Profesional,361936.06,465,48,17
491,Liga Pro Gaming,31500.0,59,8,3
492,LoL Ladies Battle,24627.44,5,2,2
493,Long Haul League,786.0,16,8,4
494,LOOT.BET Cup,340000.0,236,19,1
495,Lord of the Arena,9000.0,9,3,3
496,LPLOL,87273.77,91,12,12
497,Lyon e-Sport,209702.63,139,10,6
498,Magnus Carlsen Chess Tour,1000000.0,25,5,1
499,Maine Smash Tournament Series,1045.0,11,9,3
500,MainlineGG Artifact,6500.0,42,13,2
501,Mass Madness,16522.0,76,37,16
502,Master's Coliseum,89367.2,35,6,5
503,Mayhem,6334.99,21,9,5
504,MČR,39400.58,122,14,5
505,MechWarrior Online World Championship,143490.0,0,1,1
506,MELEE-FC,24611.8,76,14,5
507,MembTV Events,64458.01,56,17,9
508,Merkur Masters,51328.55,57,10,1
509,Metaleak,7086.97,85,40,1
510,MetalHogs PUBG League,111167.8,47,3,2
511,Midas Mode,210000.0,83,5,2
512,MixBOT Pro-League Invite,6000.0,22,2,1
513,Mock-It eSports,11973.66,106,61,2
514,Momentum Cup,10000.0,60,49,3
515,Moo Proleague,29540.0,20,2,2
516,Moscow Cyber Stadium,51988.5,209,8,2
517,MSI Pro Cup,27897.06,26,19,14
518,MT League,1055.65,19,10,1
519,Mundo AoE,1915.7,23,4,4
520,Mythic Championship,4250000.0,164,7,2
521,National Electronic Sports Open,396015.73,95,23,6
522,National Electronic Sports Tournament,718109.17,249,14,7
523,NationWars,176426.75,79,8,7
524,NEO Star League,238154.91,76,11,9
525,Netolic Pro League,32159.11,73,10,3
526,NetParty Fyn,29943.97,87,15,5
527,Nexus Gaming,10912.17,105,63,2
528,NiceGameTV LoL Battle,575502.62,404,19,17
529,Nili_AoE Events,64919.62,44,45,8
530,NON STOP Energy League,3683.14,30,10,2
531,North American Star League,378000.0,76,25,6
532,NorthCon,61696.86,55,5,3
533,Northern Arena,300000.0,102,3,2
534,Northwest Majors,20070.0,206,62,6
535,Numericable M-House Cup,41505.21,31,8,5
536,NVIDIA Game Festival,91371.8,54,7,4
537,Obao Elite Challenge,74773.6,39,3,3
538,Occitanie Esports,55836.78,155,10,2
539,OlimoLeague,81917.51,107,256,65
540,Omega Sector Professional League,123232.14,289,49,6
541,One Nation of Gamers,8000.0,22,2,2
542,One Tap League,23546.96,35,5,1
543,ONPOONG StarCraft 2 Events,19217.35,48,27,2
544,OSC Championship,36032.21,128,8,2
545,Overwatch PIT Championship,70000.0,133,6,3
546,Parimatch League,200000.0,64,2,2
547,PGL,2647000.0,581,37,22
548,Player One Elite Series,15000.0,37,3,3
549,Point Blank International Championship,299000.0,107,3,3
550,Pound,73166.03,135,24,7
551,Pro Rivalry League,3900.0,47,26,1
552,ProDota Cup,251500.0,366,53,5
553,Professional Gamers League,148000.0,40,7,4
554,Proleague,1365602.01,261,29,9
555,PUBG Champions League,754425.26,116,3,3
556,Puzzle Battle World Championship,11510.0,9,3,1
557,PxL LAN,93470.44,292,59,37
558,QC Community Tournaments,16160.0,85,70,4
559,Quarterly Rapport,8855.0,230,74,2
560,RaidCall Dota 2 Open Cup,4500.0,31,9,2
561,RedRain Cup,29048.0,35,3,1
562,Reflex GT,32479.43,92,23,12
563,Revival of Melee,16044.99,40,14,7
564,RGL.gg,54459.0,471,31,20
565,RGN Pro Series,64600.0,102,8,4
566,RottiShowmatches SC2,3040.0,30,9,5
567,Rusaoc,2981.66,20,16,2
568,Russian e-Sports Cup,222339.45,127,9,4
569,SC2ONLINE Community Open,8440.0,75,113,1
570,SCAN Invitational,7876.73,16,5,1
571,Season's Beatings,3750.0,36,11,2
572,SECTOR: MOSTBET,80105.2,65,4,3
573,Shadowverse Open,31700.0,58,8,4
574,Shadowverse World Grand Prix,2817727.29,67,3,3
575,Shanghai Dota 2 Open,170102.6,74,3,2
576,SHOUTcraft Invitational,149368.0,89,21,20
577,Smash Masters League,86462.36,112,20,2
578,SMYM,12058.0,58,12,4
579,SoCal Regionals,135744.35,165,40,4
580,SOSPA Ranking Tournament,9100.76,11,18,18
581,SoStronk,11000.0,21,4,1
582,Special Force II Pro League,130250.0,0,3,3
583,Speed Chess Championship,309421.04,168,39,6
584,StarCraft II Regular Cup,7766.04,18,77,1
585,Stars War,141072.35,93,12,9
586,Storm League,48315.6,55,2,2
587,Street Fighter 25th Anniversary Global Tournament,156800.0,59,12,3
588,Summer Jam,27911.5,57,19,2
589,Super Smash Sundays,47910.0,86,113,56
590,Super Smash Sundays EC,1211.0,31,12,3
591,SWEET,25358.0,62,30,13
592,T90Official Events,75934.38,77,35,5
593,Taiwan eSports League,95036.28,31,7,3
594,TCS eSports League,6569.32,18,2,2
595,TeamLiquid StarLeague,142900.0,159,36,7
596,Techlabs Cup,258457.86,206,33,13
